dataset,experiment,seed,train_time_sec,eval_time_sec,peak_memory_mb,avg_steps,accuracy
cmmcot,discrete_evolving_attention,3407,0.6390665829967475,0.018249999993713573,0.08352375030517578,5.0,0.225
cmmcot,liquid_full,3407,1.9152842920011608,0.04964808399381582,0.100189208984375,5.0,0.225
cmmcot,reflective_cot,3407,0.652007541997591,0.018672083009732887,0.08242511749267578,5.0,0.275
cmmcot,static_cot,3407,0.5825122500100406,0.014005417004227638,0.08327865600585938,5.0,0.225
cmmcot,static_self_validation,3407,0.5878589170024497,0.014110125004663132,0.0784463882446289,5.0,0.225
cmmcot,w_o_cot_control,3407,0.7006432909984142,0.015312165996874683,0.07936573028564453,1.0,0.35
cmmcot,w_o_cross_step,3407,1.8392034580028849,0.05183304198726546,0.1040182113647461,5.0,0.225
cmmcot,w_o_multimodal,3407,1.8853267499944195,0.04728962499939371,0.09813785552978516,5.0,0.375
cmmcot,w_o_ode,3407,0.5825122500100406,0.014005417004227638,0.08327865600585938,5.0,0.225
cmmcot,w_o_self_validation,3407,1.9180900829960592,0.04984824999701232,0.10309219360351562,5.0,0.225
mmlu_pro,discrete_evolving_attention,3407,0.6454677500005346,0.01707795799302403,0.10243892669677734,5.0,0.325
mmlu_pro,liquid_full,3407,1.9520642920106184,0.05284908300382085,0.1126718521118164,5.0,0.3
mmlu_pro,reflective_cot,3407,0.6545897920004791,0.01731133299472276,0.10136222839355469,5.0,0.35
mmlu_pro,static_cot,3407,0.5891297079942888,0.01214083400554955,0.1026906967163086,5.0,0.325
mmlu_pro,static_self_validation,3407,0.588483334009652,0.016186417007702403,0.10291481018066406,5.0,0.3
mmlu_pro,w_o_cot_control,3407,0.6991082500026096,0.01619566600129474,0.09965896606445312,1.0,0.375
mmlu_pro,w_o_cross_step,3407,1.8617787920084083,0.04668824998952914,0.11398792266845703,5.0,0.3
mmlu_pro,w_o_multimodal,3407,1.923186749991146,0.054177166006411426,0.11731147766113281,5.0,0.25
mmlu_pro,w_o_ode,3407,0.5891297079942888,0.01214083400554955,0.1026906967163086,5.0,0.325
mmlu_pro,w_o_self_validation,3407,1.8789044589939294,0.05202229099813849,0.12374401092529297,5.0,0.325
scienceqa,discrete_evolving_attention,3407,0.5586612499901094,0.013231125005404465,0.08231258392333984,5.0,0.175
scienceqa,liquid_full,3407,1.8718395000032615,0.05313612500322051,0.10509014129638672,5.0,0.175
scienceqa,reflective_cot,3407,0.6278596670017578,0.014225999999325722,0.0832681655883789,5.0,0.275
scienceqa,static_cot,3407,0.5179705000045942,0.012587874996825121,0.13521766662597656,5.0,0.175
scienceqa,static_self_validation,3407,0.5120339170098305,0.012455290998332202,0.08432960510253906,5.0,0.175
scienceqa,w_o_cot_control,3407,0.6796126249973895,0.01615429100638721,0.08432769775390625,1.0,0.3
scienceqa,w_o_cross_step,3407,1.8957785410020733,0.04931958400993608,0.10463428497314453,5.0,0.175
scienceqa,w_o_multimodal,3407,1.8748280839936342,0.053235166997183114,0.09841632843017578,5.0,0.175
scienceqa,w_o_ode,3407,0.5179705000045942,0.012587874996825121,0.13521766662597656,5.0,0.175
scienceqa,w_o_self_validation,3407,1.8801204589981353,0.051084457998513244,0.11066055297851562,5.0,0.175
